Marca,Modelo,Fecha_Publicacion,Peso_Mujer,Peso_Hombre,Precio,Drop,Perfil_Anterior,Perfil_Posterior,taco,terreno_categoria,distancia_categoria,corredor_categoria,durabilidad_categoria,upper_categoria,mediasuela_categoria,suela_categoria,placa
Adidas,Terrex Agravic Speed Ultra 2,2026-04-20,225.0,269.0,230.0,8.0,34.0,42.0,,Fácil/Rodador,Larga,Ligero,Alta,Hilo,PEBA,Continental,
Mizuno,Neo Accera,2026-04-19,285.0,285.0,190.0,8.0,33.0,41.5,4.0,Fácil/Rodador,Ultra,Medio,Alta,Malla,,Vibram,Carbono
Adidas,Terrex Agravic TT,2026-04-16,234.0,272.0,180.0,8.0,31.0,39.0,2.0,Polivalente,Ultra,Medio,Alta,Tela,PEBA,Continental,
New Balance,Fresh Foam Hierro v9,2026-04-05,236.0,294.0,160.0,4.0,26.0,30.0,4.5,Polivalente,Ultra,Pesado,Alta,Malla,EVA Modificada (OBC/Goma),Vibram,
VJ,Fuzion Aerofly,2026-03-31,250.0,250.0,189.0,8.0,31.0,39.0,3.0,Polivalente,Media,Medio,Alta,Hilo,PEBA,,
Brooks,Cascadia Elite,2026-03-26,266.0,266.0,250.0,6.0,34.0,40.0,,Polivalente,Ultra,Medio,Alta,Keblar,PEBA,Vibram,Carbono
Joma,TR-7,2026-03-24,250.0,250.0,120.0,8.0,24.0,32.0,4.0,Polivalente,Larga,Medio,Alta,Malla,Supercrítico,,
Atom,Terra 3.0,2026-03-17,225.0,272.0,120.0,8.0,,,4.0,Polivalente,Ultra,Medio,Media,Malla,EVA Convencional,Atom,
Brooks,Cascadia 19,2026-03-16,278.0,303.0,150.0,6.0,29.0,35.0,,Polivalente,Ultra,Pesado,Alta,Hilo,Supercrítico,Brooks Trailtack,
La Sportiva,Prodigio 2,2026-03-15,225.0,262.0,160.0,6.0,28.0,34.0,4.0,Polivalente,Ultra,Medio,Alta,Malla,Supercrítico,La Sportiva Frixion,Antirrocas
Asics,Trabuco 14,2026-03-11,249.0,281.0,160.0,8.0,27.0,35.0,4.0,Polivalente,Ultra,Pesado,Alta,Malla,Supercrítico,Asicsgrip,Antirrocas
Anta,Saker Speed RC,2026-03-05,232.0,255.0,196.0,6.0,31.5,37.5,3.5,Fácil/Rodador,Larga,Ligero,Alta,Hilo,TPU,Vibram,Carbono
The North Face,Altamesa 500 v2,2026-03-03,245.0,277.0,150.0,6.0,30.0,36.0,4.0,Fácil/Rodador,Ultra,Medio,Alta,,TPU,The North Face Surface CTRL,
Anta,Saker 3 RC,2026-03-01,266.0,266.0,160.0,5.0,26.5,31.5,,Técnico,Larga,Medio,Alta,,Supercrítico,Vibram,Carbono
Merrell,Agility Peak 6,2026-02-09,280.0,280.0,165.0,6.0,26.0,32.0,5.0,Polivalente,Ultra,Medio,Alta,Hilo,EVA Convencional,Vibram,TPU
New Balance,Fresh Foam Hierro v9 Gore-Tex,2026-01-01,275.0,345.0,180.0,4.0,26.0,30.0,,Polivalente,Larga,Medio,Alta,Membrana,EVA Modificada (OBC/Goma),Vibram,
Mizuno,Wave Mujin 11,2025-12-23,280.0,340.0,160.0,8.0,30.0,38.0,5.0,Técnico,Ultra,Pesado,Alta,,TPU,Vibram,
La Sportiva,Prodigio Max,2025-12-01,260.0,295.0,180.0,6.0,31.0,37.0,4.0,Técnico,Ultra,Medio,Alta,Malla,EVA Convencional,La Sportiva Frixion,
Asics,FujiSpeed 4,2025-11-27,240.0,240.0,180.0,5.0,29.0,34.0,3.5,Compacto/Roca,Corta,Ligero,Alta,Hilo,PEBA,Asicsgrip,Carbono
Bestard,Guepard,2025-11-18,328.0,328.0,155.0,8.0,32.0,40.0,4.0,Polivalente,Larga,Pesado,Alta,Malla,EVA Convencional,Vibram,
Hoka,Mafate 5,2025-10-26,286.0,332.0,190.0,8.0,37.0,45.0,,Técnico,Ultra,Medio,Media,Hilo,EVA Convencional,Vibram,
Altra,Mont Blanc Speed,2025-10-07,232.0,282.0,190.0,0.0,29.0,29.0,,Polivalente,Larga,Medio,Media,Hilo,,Vibram,
Salomon,S-Lab Pulsar 4,2025-09-29,250.0,250.0,220.0,6.0,18.0,24.0,,Polivalente,Media,Medio,Media,Keblar,,Salomon Contagrip,
Merrell,ProMorph,2025-09-18,200.0,260.0,160.0,6.0,27.0,33.0,,Polivalente,Maratón,Medio,Alta,Malla,,Vibram,
Inov-8,TrailFly Max,2025-09-15,300.0,300.0,170.0,6.0,28.0,34.0,4.0,Fácil/Rodador,Ultra,Medio,Alta,Hilo,EVA Convencional,Inov-8 G-Grip (Grafeno),
Asics,Fuji Lite 6,2025-09-09,220.0,250.0,140.0,4.0,24.0,28.0,4.0,Polivalente,Maratón,Medio,Alta,Hilo,EVA Convencional,,
Altra,Olympus 275,2025-09-04,275.0,338.0,195.0,0.0,33.0,33.0,,Polivalente,Ultra,Medio,Alta,Keblar,EVA Convencional,Vibram,Antirrocas
Merrell,Antora 4,2025-08-10,210.0,210.0,135.0,8.0,21.0,29.0,3.0,Polivalente,Maratón,Medio,Alta,Malla,EVA Convencional,,
X-Bionic,TerraSkin X02,2025-08-04,298.0,298.0,200.0,5.0,23.0,27.0,,Compacto/Roca,Maratón,Medio,Media,Hilo,,Vibram,Carbono
Brooks,Caldera 8,2025-07-31,264.0,301.0,150.0,6.0,32.5,38.5,,Fácil/Rodador,Ultra,Pesado,Alta,Hilo,,Brooks Trailtack,
VJ,Ultra 3,2025-07-28,275.0,275.0,189.0,8.0,30.0,38.0,,Polivalente,Ultra,Medio,Alta,,PEBA,,Antirrocas
Mount to Coast,T1,2025-07-27,255.0,255.0,190.0,4.0,32.0,36.0,,Polivalente,Maratón,Medio,Media,Malla,EVA Convencional,Vibram,
Merrell,Nova 4,2025-07-21,275.0,275.0,135.0,8.0,21.0,29.0,,Fácil/Rodador,Corta,Medio,Alta,,EVA Convencional,Asics AHAR,
Hoka,Mafate X,2025-07-20,294.0,344.0,225.0,8.0,41.0,49.0,3.5,Fácil/Rodador,Ultra,Pesado,Alta,Hilo,EVA Convencional,Vibram,Carbono
Dynafit,Ultra,2025-07-17,240.0,280.0,140.0,8.0,27.0,32.0,4.5,Polivalente,Larga,Pesado,Alta,Hilo,,Pomoca,
Dynafit,Sky DNA,2025-07-10,207.0,239.0,200.0,4.0,15.0,19.0,4.0,Técnico,Corta,Ligero,Alta,Hilo,PEBA,Vibram,
Scott,Supertrac RC 3,2025-06-30,215.0,255.0,169.9,4.0,17.5,22.5,7.0,Barro/Blando,Maratón,Ligero,Alta,Keblar,EVA Convencional,,
Brooks,Catamount 4,2025-06-16,241.0,269.0,170.0,6.0,28.0,34.0,,Compacto/Roca,Maratón,Ligero,Alta,,PEBA,,Pebax
Merrell,MTL Adapt,2025-05-31,235.0,290.0,200.0,6.0,36.0,42.0,4.0,Polivalente,Ultra,Medio,Media,Keblar,EVA Convencional,Vibram,
Topo Athletic,Ultraventure 4,2025-05-22,235.0,295.0,175.0,5.0,30.0,35.0,,Fácil/Rodador,Ultra,Medio,Alta,,,Vibram,
Mizuno,Wave Daichi 9,2025-05-20,260.0,310.0,150.0,6.0,26.0,32.0,4.0,Polivalente,Maratón,Medio,Alta,Hilo,EVA Convencional,Vibram,Antirrocas
Scarpa,Ribelle Run 2,2025-05-18,280.0,325.0,179.0,4.0,22.5,26.5,6.0,Técnico,Maratón,Pesado,Alta,Malla,EVA Convencional,Scarpa Presa,
Altra,Lone Peak 9+,2025-05-15,264.0,328.0,150.0,0.0,25.0,25.0,,Polivalente,Maratón,Ligero,Alta,Hilo,,Vibram,
Salomon,Ultra Glide 3,2025-05-04,255.0,285.0,150.0,6.0,35.0,41.0,4.0,Polivalente,Ultra,Medio,Alta,Malla,EVA Convencional,Salomon Contagrip,
Rossignol,Vezor,2025-04-29,228.0,270.0,180.0,6.0,24.0,30.0,4.0,Polivalente,Media,Ligero,Alta,Malla,EVA Convencional,Michelin,TPU
Salomon,S-Lab Ultra Glide,2025-04-17,290.0,290.0,250.0,6.0,35.0,41.0,4.0,Fácil/Rodador,Ultra,Medio,Alta,Hilo,EVA Convencional,,
La Sportiva,Prodigio Pro,2025-04-16,225.0,255.0,199.99,6.0,28.0,34.0,4.0,Polivalente,Ultra,Medio,Alta,,Supercrítico,La Sportiva Frixion,Carbono
Asics,Trabuco 13,2025-04-14,250.0,285.0,160.0,8.0,28.0,36.0,,Fácil/Rodador,Larga,Medio,Media,,Supercrítico,Asicsgrip,Antirrocas
New Balance,Tektrel,2025-04-10,238.0,301.0,110.0,8.0,22.0,28.0,,Polivalente,Media,Medio,Media,Malla,,,
Altra,Timp 5 BOA,2025-04-07,257.0,286.0,180.0,0.0,29.0,29.0,,Polivalente,Maratón,Medio,Alta,Malla,,Vibram,
New Balance,Fresh Foam Garoé v2,2025-03-30,236.0,298.0,120.0,8.0,20.0,28.0,,Polivalente,Maratón,Medio,Alta,Hilo,EVA Modificada (OBC/Goma),Saucony Hydrohesion,Antirrocas
New Balance,FuelCell SuperComp Trail,2025-03-23,214.0,272.0,220.0,10.0,21.0,31.0,,Fácil/Rodador,Media,Ligero,Media,Hilo,Supercrítico,Vibram,Carbono
New Balance,FuelCell Venym,2025-03-05,208.0,264.0,140.0,6.0,22.0,28.0,,Fácil/Rodador,Media,Ligero,Media,Malla,Supercrítico,,Antirrocas
Topo Athletic,Pursuit 2,2025-01-28,244.0,303.0,170.0,0.0,28.0,28.0,,Técnico,Ultra,Medio,Alta,,EVA Modificada (OBC/Goma),Vibram,
X-Bionic,TerraSkin X00/C,2025-01-23,319.0,319.0,300.0,5.0,26.0,31.0,,Polivalente,Maratón,Medio,Media,Hilo,,Vibram,Carbono
Mizuno,Wave Rider TT 2,2025-01-20,250.0,300.0,160.0,12.0,19.0,31.0,4.0,Polivalente,Maratón,Medio,Alta,Hilo,TPU,,TPU
Kailas,Fuga EX 330,2024-12-16,310.0,310.0,179.0,5.0,34.0,39.0,4.0,Polivalente,Ultra,Pesado,Alta,Malla,EVA Convencional,Vibram,
Asics,MetaFuji Trail,2024-12-15,260.0,260.0,250.0,5.0,31.0,36.0,3.0,Fácil/Rodador,Ultra,Medio,Alta,Malla,PEBA,Asics AHAR,Carbono
